省份,日(日期),新增确诊,新增死亡,新增治愈,累计确诊,累计死亡,累计治愈,现有确诊
安徽省,2020年1月23日,8,0,0,9,0,0,9
安徽省,2020年1月24日,6,0,0,15,0,0,15
安徽省,2020年1月25日,24,0,0,39,0,0,39
安徽省,2020年1月26日,21,0,0,60,0,0,60
安徽省,2020年1月27日,10,0,0,70,0,0,70
安徽省,2020年1月28日,36,0,0,106,0,0,106
安徽省,2020年1月29日,46,0,2,152,0,2,150
安徽省,2020年1月30日,48,0,0,200,0,2,198
安徽省,2020年1月31日,37,0,1,237,0,3,234
安徽省,2020年2月1日,60,0,2,297,0,5,292
安徽省,2020年2月2日,43,0,2,340,0,7,333
安徽省,2020年2月3日,68,0,7,408,0,14,394
安徽省,2020年2月4日,72,0,6,480,0,20,460
安徽省,2020年2月5日,50,0,3,530,0,23,507
安徽省,2020年2月6日,61,0,11,591,0,34,557
安徽省,2020年2月7日,74,0,13,665,0,47,618
安徽省,2020年2月8日,68,0,12,733,0,59,674
安徽省,2020年2月9日,46,1,13,779,1,72,706
安徽省,2020年2月10日,51,2,16,830,3,88,739
安徽省,2020年2月11日,30,1,17,860,4,105,751
安徽省,2020年2月12日,29,0,22,889,4,127,758
安徽省,2020年2月13日,21,1,30,910,5,157,748
安徽省,2020年2月14日,24,1,36,934,6,193,735
安徽省,2020年2月15日,16,0,28,950,6,221,723
安徽省,2020年2月16日,12,0,34,962,6,255,701
安徽省,2020年2月17日,11,0,25,973,6,280,687
安徽省,2020年2月18日,9,0,81,982,6,361,615
安徽省,2020年2月19日,4,0,52,986,6,413,567
安徽省,2020年2月20日,1,0,61,987,6,474,507
安徽省,2020年2月21日,1,0,65,988,6,539,443
安徽省,2020年2月22日,1,0,58,989,6,597,386
安徽省,2020年2月23日,0,0,40,989,6,637,346
安徽省,2020年2月24日,0,0,26,989,6,663,320
安徽省,2020年2月25日,0,0,49,989,6,712,271
安徽省,2020年2月26日,0,0,32,989,6,744,239
安徽省,2020年2月27日,0,0,48,989,6,792,191
安徽省,2020年2月28日,1,0,29,990,6,821,163
安徽省,2020年2月29日,0,0,47,990,6,868,116
安徽省,2020年3月1日,0,0,5,990,6,873,111
安徽省,2020年3月2日,0,0,44,990,6,917,67
安徽省,2020年3月3日,0,0,19,990,6,936,48
安徽省,2020年3月4日,0,0,20,990,6,956,28
安徽省,2020年3月5日,0,0,14,990,6,970,14
安徽省,2020年3月6日,0,0,9,990,6,979,5
安徽省,2020年3月7日,0,0,0,990,6,979,5
安徽省,2020年3月8日,0,0,5,990,6,984,0
安徽省,2020年3月9日,0,0,0,990,6,984,0
安徽省,2020年3月10日,0,0,0,990,6,984,0
安徽省,2020年3月11日,0,0,0,990,6,984,0
安徽省,2020年3月12日,0,0,0,990,6,984,0
安徽省,2020年3月13日,0,0,0,990,6,984,0
安徽省,2020年3月14日,0,0,0,990,6,984,0
安徽省,2020年3月15日,0,0,0,990,6,984,0
澳门特别行政区,2020年1月23日,1,0,0,2,0,0,2
澳门特别行政区,2020年1月24日,0,0,0,2,0,0,2
澳门特别行政区,2020年1月25日,0,0,0,2,0,0,2
澳门特别行政区,2020年1月26日,3,0,0,5,0,0,5
澳门特别行政区,2020年1月27日,1,0,0,6,0,0,6
澳门特别行政区,2020年1月28日,1,0,0,7,0,0,7
澳门特别行政区,2020年1月29日,0,0,0,7,0,0,7
澳门特别行政区,2020年1月30日,0,0,0,7,0,0,7
澳门特别行政区,2020年1月31日,0,0,0,7,0,0,7
澳门特别行政区,2020年2月1日,0,0,0,7,0,0,7
澳门特别行政区,2020年2月2日,1,0,0,8,0,0,8
澳门特别行政区,2020年2月3日,0,0,0,8,0,0,8
澳门特别行政区,2020年2月4日,2,0,0,10,0,0,10
澳门特别行政区,2020年2月5日,0,0,0,10,0,0,10
澳门特别行政区,2020年2月6日,0,0,1,10,0,1,9
澳门特别行政区,2020年2月7日,0,0,0,10,0,1,9
澳门特别行政区,2020年2月8日,0,0,0,10,0,1,9
澳门特别行政区,2020年2月9日,0,0,0,10,0,1,9
澳门特别行政区,2020年2月10日,0,0,0,10,0,1,9
澳门特别行政区,2020年2月11日,0,0,0,10,0,1,9
澳门特别行政区,2020年2月12日,0,0,1,10,0,2,8
澳门特别行政区,2020年2月13日,0,0,1,10,0,3,7
澳门特别行政区,2020年2月14日,0,0,0,10,0,3,7
澳门特别行政区,2020年2月15日,0,0,0,10,0,3,7
澳门特别行政区,2020年2月16日,0,0,2,10,0,5,5
澳门特别行政区,2020年2月17日,0,0,0,10,0,5,5
